Time,Symbol,Bid,Ask,Price,Quantity,Status,Currency,buy_sell,TotalPrice,Spread,Liquidity
09:15:17.080,NFLX,227.41,109.27,89.92,9,Expired,GBP,s,809.28,118.14,0.0761808
09:15:21.349,V,236.57,249.17,235.59,1,Partially_Done,INR,s,235.59,12.6,0.07936508
09:15:30.308,MSFT,216.32,193.44,66.95,3,Expired,INR,s,200.85,22.88,0.1311189
09:15:38.184,MSFT,279.86,299.81,62.56,14,Pending_Approval,JPY,s,875.84,19.95,0.7017544
09:15:58.274,META,213.2,216.49,217.17,15,On_hold,GBP,b,3257.55,3.29,4.559271
09:16:25.332,META,71.35,149.03,174.4,8,Pending_Approval,JPY,b,1395.2,77.68,0.1029866
09:16:29.269,APPL,49.36,49.13,56.11,3,Accepted,INR,s,168.33,0.23,13.04348
09:17:03.542,GOOGL,270.27,252.5,80.21,7,Dealer_Timeout,JPY,b,561.47,17.77,0.3939223
09:17:05.092,META,282.37,292.02,171.04,5,Customer_Timeout,JPY,b,855.2,9.65,0.5181347
09:17:34.232,APPL,34.48,95.81,177.27,11,Pending_Approval,JPY,s,1949.97,61.33,0.1793576
09:17:50.500,META,257.06,250.76,298.36,15,Done,INR,s,4475.4,6.3,2.380952
09:18:17.484,APPL,111.96,32.31,273.89,14,Dealer_Rejected,JPY,b,3834.46,79.65,0.175769
09:20:07.066,V,282.42,204.25,242.45,11,In_Progress,GBP,s,2666.95,78.17,0.1407189
09:21:04.802,APPL,294.78,149.85,105.16,15,Dealer_Timeout,EUR,s,1577.4,144.93,0.1034982
09:21:42.669,NFLX,93.57,32.15,159.6,10,Dealer_Timeout,JPY,b,1596,61.42,0.1628134
09:21:47.943,NFLX,231.78,155.28,136.46,1,Accepted,GBP,s,136.46,76.5,0.0130719
09:21:59.623,GOOGL,183.82,135.48,278.37,5,Cancelled,EUR,s,1391.85,48.34,0.103434
09:22:01.740,BABA,291.18,92.84,101.21,13,Done,INR,b,1315.73,198.34,0.06554402
09:22:18.827,NFLX,131.99,220.67,185.76,4,On_hold,USD,s,743.04,88.68,0.045106
09:22:41.168,TSLA,79.02,275.64,272.04,3,Customer_Timeout,USD,b,816.12,196.62,0.01525786
09:23:08.324,META,268.99,129.11,51.98,2,Cancelled,GBP,b,103.96,139.88,0.01429797
09:23:12.640,MSFT,126.32,52.81,296.57,14,Partially_Done,USD,b,4151.98,73.51,0.1904503
09:23:25.305,APPL,61.43,99.73,49.84,15,Accepted,GBP,s,747.6,38.3,0.3916449
09:23:59.510,META,74.09,216.65,61.88,6,Dealer_Timeout,INR,b,371.28,142.56,0.04208754
09:24:08.941,META,139.95,237.95,232.4,3,Expired,INR,b,697.2,98,0.03061224
09:24:25.648,BABA,52.13,132.86,48.42,15,Customer_Timeout,EUR,b,726.3,80.73,0.1858045
09:24:37.574,V,298.41,175.44,29.96,9,Customer_Rejected,INR,b,269.64,122.97,0.07318858
09:25:12.557,BABA,112.3,126.82,262.9,10,On_hold,EUR,b,2629,14.52,0.6887052
09:25:17.975,TSLA,298.56,119.85,264.08,13,Partially_Done,JPY,b,3433.04,178.71,0.07274355
09:25:53.276,APPL,255.83,124.63,31.17,6,Cancelled,JPY,s,187.02,131.2,0.04573171
09:26:02.812,NFLX,260.74,95.57,247.91,4,Expired,EUR,s,991.64,165.17,0.02421747
09:26:32.555,TSLA,87.95,74.56,222.28,2,Customer_Rejected,GBP,b,444.56,13.39,0.1493652
09:27:23.462,MSFT,168.56,51.9,47.05,11,Partially_Done,GBP,s,517.55,116.66,0.0942911
09:27:46.425,TSLA,272.5,172.94,39,10,Dealer_Rejected,USD,s,390,99.56,0.1004419
09:28:04.921,BABA,234.06,177.96,100.15,9,Customer_Timeout,USD,b,901.35,56.1,0.1604278
09:28:16.346,APPL,245,179.22,41.93,14,In_Progress,INR,s,587.02,65.78,0.2128306
09:28:41.485,TSLA,122.5,227.09,102.77,13,Customer_Timeout,JPY,s,1336.01,104.59,0.1242949
09:28:48.828,TSLA,252.47,31.94,30.62,1,Dealer_Timeout,INR,s,30.62,220.53,0.00453453
09:29:01.257,BABA,52.79,97.64,162.8,2,On_hold,EUR,s,325.6,44.85,0.04459309
09:29:14.466,V,57.44,34.36,286.83,7,Pending_Approval,JPY,b,2007.81,23.08,0.3032929
09:29:25.645,V,197.91,184.4,217.09,2,In_Progress,GBP,s,434.18,13.51,0.1480385
09:29:26.715,MSFT,149.04,119.71,150.85,12,Customer_Rejected,INR,s,1810.2,29.33,0.4091374
09:29:45.270,V,215.65,222.46,129,3,In_Progress,INR,b,387,6.81,0.4405286
09:30:38.437,TSLA,160.88,66.49,243.33,4,On_hold,EUR,s,973.32,94.39,0.04237737
09:31:21.492,META,229.73,110.27,170.59,3,Pending_Approval,USD,b,511.77,119.46,0.02511301
09:31:31.025,BABA,166.37,289.15,213.95,7,Customer_Timeout,EUR,s,1497.65,122.78,0.05701254
09:31:45.658,NFLX,35.46,60.77,276.68,15,Dealer_Rejected,JPY,b,4150.2,25.31,0.5926511
09:31:54.352,TSLA,157.56,292.2,54.42,3,Partially_Done,INR,s,163.26,134.64,0.02228164
09:32:12.141,BABA,141.01,60.54,36.94,5,Pending_Approval,INR,b,184.7,80.47,0.06213496
09:32:53.834,MSFT,28.85,76.19,247.7,12,On_hold,JPY,s,2972.4,47.34,0.2534854
09:33:12.643,APPL,281.47,25.14,91.6,7,Dealer_Rejected,GBP,s,641.2,256.33,0.02730855
09:33:44.292,NFLX,103.05,278.78,31.46,9,Dealer_Timeout,EUR,s,283.14,175.73,0.05121493
09:33:53.760,APPL,246.31,261.7,244.75,15,Expired,USD,s,3671.25,15.39,0.9746589
09:34:08.229,APPL,72.82,79.61,280.42,4,Accepted,EUR,b,1121.68,6.79,0.5891016
09:34:16.666,META,97.52,61.56,153.52,7,Accepted,EUR,s,1074.64,35.96,0.1946607
09:34:50.347,V,152.7,83.01,158.3,14,Cancelled,USD,s,2216.2,69.69,0.2008897
09:35:02.763,APPL,66.6,257.35,142.4,1,Dealer_Rejected,USD,b,142.4,190.75,0.005242464
09:35:31.252,GOOGL,262.94,37.13,251.3,8,Expired,GBP,b,2010.4,225.81,0.03542801
09:35:44.551,NFLX,147.16,107.38,182.79,1,Cancelled,USD,b,182.79,39.78,0.02513826
09:36:04.412,NFLX,217.17,123.23,221.99,15,Customer_Timeout,JPY,b,3329.85,93.94,0.1596764
09:36:10.661,BABA,52.02,263.78,171.07,15,Dealer_Rejected,INR,b,2566.05,211.76,0.07083491
09:36:24.796,V,26.12,133.12,215.03,14,Pending_Approval,EUR,b,3010.42,107,0.1308411
09:36:49.150,META,49.08,169.26,172.37,8,In_Progress,INR,b,1378.96,120.18,0.06656682
09:37:32.095,TSLA,206.36,88.08,96.94,2,On_hold,INR,b,193.88,118.28,0.01690903
09:37:34.124,MSFT,23.1,160.52,63.28,9,Partially_Done,EUR,s,569.52,137.42,0.06549265
09:37:58.050,NFLX,298.58,116.53,131.34,6,Done,EUR,s,788.04,182.05,0.03295798
09:37:59.750,MSFT,51.07,40,159.99,9,Customer_Timeout,EUR,b,1439.91,11.07,0.8130081
09:38:18.089,V,258.36,97.25,131.89,8,Done,GBP,b,1055.12,161.11,0.04965551
09:38:25.525,V,100.68,75.77,24.31,8,Accepted,GBP,s,194.48,24.91,0.3211562
09:38:43.724,APPL,44.95,281.24,38.92,11,On_hold,INR,b,428.12,236.29,0.04655296
09:39:16.392,MSFT,187.71,68.56,206.83,7,Dealer_Timeout,USD,b,1447.81,119.15,0.05874948
09:39:32.919,APPL,79.05,58.11,280.18,11,Pending_Approval,JPY,s,3081.98,20.94,0.5253104
09:39:51.886,MSFT,219.04,201.25,251.93,12,Accepted,USD,s,3023.16,17.79,0.6745363
09:39:54.644,V,136.05,47.71,27.02,1,On_hold,USD,s,27.02,88.34,0.0113199
09:40:23.210,APPL,113.32,173.54,245.86,6,Dealer_Rejected,GBP,s,1475.16,60.22,0.09963467
09:42:18.156,GOOGL,30.7,145.14,276.08,10,Expired,JPY,s,2760.8,114.44,0.08738203
09:42:28.486,APPL,221.16,206.3,208.58,3,Done,GBP,b,625.74,14.86,0.2018843
09:43:17.727,MSFT,78.84,113.03,166.67,1,Accepted,USD,s,166.67,34.19,0.02924832
09:43:43.630,APPL,141.78,159.95,48.46,7,Customer_Timeout,GBP,s,339.22,18.17,0.3852504
09:44:23.451,APPL,55.19,198.95,160.63,13,Dealer_Timeout,JPY,s,2088.19,143.76,0.09042849
09:44:26.852,MSFT,164.61,53.55,58.19,5,Expired,USD,s,290.95,111.06,0.04502071
09:44:38.945,V,277.56,62.21,199.76,9,Customer_Rejected,GBP,s,1797.84,215.35,0.04179243
09:45:06.922,TSLA,98.32,136.67,40.68,7,Customer_Timeout,GBP,b,284.76,38.35,0.1825293
09:45:19.890,GOOGL,94.73,257.32,75.12,9,Customer_Timeout,INR,b,676.08,162.59,0.05535396
09:45:37.920,META,116.07,161.24,80.25,10,Dealer_Rejected,GBP,b,802.5,45.17,0.2213859
09:45:59.638,META,226.24,176.01,208.12,4,Done,INR,s,832.48,50.23,0.07963369
09:46:28.196,MSFT,57.84,187.04,229.82,9,Cancelled,EUR,s,2068.38,129.2,0.06965944
